timestamp,temp_internal_number,door,door2,door3,smoke,power_failure,flood,flood2,remote_temp,plant_voltage,generator,hydrogen
09-01-18 00:03,66.1,0,,,1,1,,,,-54.9,,
09-01-18 00:04,66.1,0,,,1,1,,,,-54.8,,
09-01-18 00:05,66.1,0,,,1,1,,,,-54.7,,
09-01-18 00:06,66.1,0,,,1,1,,,,-54.9,,
09-01-18 00:07,66.1,0,,,1,1,,,,-54.9,,
09-01-18 00:08,66.0,0,,,1,1,,,,-54.9,,
09-01-18 00:09,66.0,0,,,1,1,,,,-54.9,,
09-01-18 00:10,65.9,0,,,1,1,,,,-54.9,,
09-01-18 00:11,65.9,0,,,1,1,,,,-54.9,,
09-01-18 00:12,65.8,0,,,1,1,,,,-54.9,,
09-01-18 00:13,65.7,0,,,1,1,,,,-54.9,,
09-01-18 00:14,65.7,0,,,1,1,,,,-54.9,,
09-01-18 00:15,65.9,0,,,1,1,,,,-54.8,,
09-01-18 00:16,65.9,0,,,1,1,,,,-54.9,,
09-01-18 00:17,65.8,0,,,1,1,,,,-54.9,,
09-01-18 00:18,65.8,0,,,1,1,,,,-54.9,,
09-01-18 00:19,65.9,0,,,1,1,,,,-54.8,,
09-01-18 00:20,65.8,0,,,1,1,,,,-54.9,,
09-01-18 00:21,65.7,0,,,1,1,,,,-54.9,,
09-01-18 00:22,65.7,0,,,1,1,,,,-54.9,,
09-01-18 00:23,65.6,0,,,1,1,,,,-54.9,,
09-01-18 00:24,65.6,0,,,1,1,,,,-54.8,,
09-01-18 00:25,65.5,0,,,1,1,,,,-54.9,,
09-01-18 00:26,65.5,0,,,1,1,,,,-54.9,,
09-01-18 00:27,65.6,0,,,1,1,,,,-54.9,,
09-01-18 00:28,65.6,0,,,1,1,,,,-54.9,,
09-01-18 00:29,65.6,0,,,1,1,,,,-54.8,,
09-01-18 00:30,65.5,0,,,1,1,,,,-54.8,,
09-01-18 00:31,65.5,0,,,1,1,,,,-54.9,,
09-01-18 00:32,65.6,0,,,1,1,,,,-54.8,,
09-01-18 00:33,65.5,0,,,1,1,,,,-54.8,,
09-01-18 00:34,65.5,0,,,1,1,,,,-54.8,,
